siteid,sitename,damname,county,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,windowstart,windowend,Chl_a,label,B11,B2,B2_B3,B3,B3_B2,B3_B4,B4,B5,B5_B4,B8,CI,FAI,NDCI,NDRE,NDVI,NDWI
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2023-04-12,2023-04-09,2023-04-15,308,2,0.01825,0.03325,0.6014987,0.0553,1.6634555,1.2086635,0.04575,0.0542,1.184752,0.0289,0.18475202,-0.011699208,0.08455522,-0.305611,-0.22700793,0.31442007
2185,鳳山水庫一,鳳山水庫,高雄市,120.39236,22.540565,187499.7869,2493537.054,2024-02-16,2024-02-13,2024-02-19,252,2,0.012,0.03485,0.7291218,0.0478,1.3715789,1.4225986,0.0336,0.04235,1.2604525,0.0175,0.2604525,-0.009113969,0.11521514,-0.41521776,-0.27869934,0.46398848
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2024-05-03,2024-04-30,2024-05-06,228,2,0.02225,0.048699997,0.9887755,0.04925,1.0114822,1.3646235,0.0361,0.058849998,1.6287991,0.0169,0.628799,-0.016605873,0.23807809,-0.5532452,-0.36271662,0.4892581
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2021-05-10,2021-05-07,2021-05-13,225,2,0.02445,0.02815,0.7975503,0.0353,1.2539374,1.4355433,0.0246,0.0396,1.6105975,0.02115,0.6105975,-0.003421904,0.23379356,-0.30371207,-0.07523803,0.2506497
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2023-04-12,2023-04-09,2023-04-15,215,2,0.03835,0.04045,0.6651075,0.060850002,1.5042844,1.0957754,0.05555,0.06335,1.1404634,0.0374,0.14046346,-0.014928414,0.06561783,-0.25794768,-0.19568042,0.23875996
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2024-05-03,2024-04-30,2024-05-06,196,2,0.02135,0.0539,0.89698684,0.0601,1.1149344,1.4498801,0.04145,0.057,1.3754511,0.020849999,0.37545115,-0.016835239,0.1579999,-0.46450108,-0.33086127,0.4850217
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2021-05-10,2021-05-07,2021-05-13,194,2,0.0396,0.06245,0.88708293,0.0704,1.1273053,1.2929397,0.054449998,0.06825,1.2534151,0.048249997,0.25341508,-0.003418572,0.11245155,-0.17168318,-0.060396437,0.18670966
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2021-03-03,2021-02-28,2021-03-06,189,2,0.0148,0.0568,1.0035336,0.0566,0.99647886,1.4044665,0.0403,0.0449,1.1428571,0.031,0.14285709,-0.004473652,0.06666664,-0.18313572,-0.1304348,0.29223746
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2021-05-10,2021-05-07,2021-05-13,172,2,0.01375,0.0223,0.81238884,0.027449999,1.2309418,1.5293779,0.01795,0.02675,1.4900521,0.0159,0.49005213,-0.001263334,0.19673082,-0.25428697,-0.06058306,0.2664591
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2024-05-03,2024-04-30,2024-05-06,172,2,0.01925,0.0522,0.9469138,0.055150002,1.0564373,1.4158152,0.03895,0.05275,1.354286,0.0175,0.3542859,-0.017760158,0.15048331,-0.5018787,-0.38010406,0.51829016
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2024-02-16,2024-02-13,2024-02-19,164,2,0.011050001,0.02675,0.74713767,0.03575,1.3393407,1.582284,0.022599999,0.03875,1.7149334,0.01125,0.7149334,-0.007607619,0.26327133,-0.55042887,-0.3362429,0.5216604
2185,鳳山水庫一,鳳山水庫,高雄市,120.39236,22.540565,187499.7869,2493537.054,2024-05-03,2024-04-30,2024-05-06,159,2,0.014599999,0.045500003,0.9109416,0.04995,1.0977906,1.6165473,0.0309,0.05105,1.6522121,0.0141,0.6522122,-0.013746984,0.24589911,-0.5673074,-0.3736161,0.55990005
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2024-04-03,2024-03-31,2024-04-06,159,2,0.015550001,0.073300004,0.98394346,0.0749,1.0163229,1.4280417,0.0524,0.0671,1.2732185,0.0457,0.2732185,8.95E-05,0.12018508,-0.19161338,-0.071511276,0.24408177
2109,西湖水庫,西湖水庫,金門縣,118.231387,24.435038,172063.67,2703419.98,2024-01-19,2024-01-16,2024-01-22,147,2,0.0099,0.0332,0.53376204,0.0622,1.8734939,1.6197915,0.0384,0.0757,1.9713541,0.0231,0.97135407,-0.009961907,0.3269062,-0.5323887,-0.24878052,0.45838216
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2022-04-06,2022-04-03,2022-04-09,138,2,0.0447,0.0954,1.0021008,0.0952,0.9979036,1.3005464,0.0732,0.0878,1.1994536,0.0754,0.19945356,0.007538096,0.09068324,-0.075980395,0.014804845,0.11606096
2114,金沙水庫,金沙水庫,金門縣,118.403069,24.491178,189499.3,2709552.11,2021-11-25,2021-11-22,2021-11-28,128,2,0.0243,0.0316,0.42818427,0.0738,2.335443,1.911917,0.0386,0.1025,2.6554403,0.0477,1.6554403,0.011778411,0.45287028,-0.3648469,0.10544609,0.21481481
